cam;year;month;day;hour;min;r;g;b;h;s;v;tot;r_pc;g_pc;b_pc;r_ex;g_ex;b_ex;n_rg_d;n_rb_d;n_gb_d
2;16;1;29;13;55;127.168212512413;128.316314299901;124.978305858987;155.560375868918;11.1223421052632;0;380.462832671301;-1.10230709669556;-1.08727316844496;-1.11248177100562;1.04180486593843;4.48611022840119;-5.52791509433962;-0.007550911265906;0.005092389483023;0.012659286124041
2;16;1;29;16;55;132.222004965243;126.17095183714;119.192461767627;130.537379344588;12.6947611717974;0;377.58541857001;-1.04351259938612;-1.09768192737018;-1.16128322053062;19.08059632572;0.927436941410129;-20.0080332671301;0.027253377066812;0.0590830954467;0.03196651659607
2;16;1;30;10;55;124.230314299901;126.044369414101;124.980860973188;167.16254468719;9.49713555114201;0;375.25554468719;-1.1056954377524;-1.09299042676666;-1.10178243627411;-2.56460178748759;2.8775635551142;-0.312961767626614;-0.006402418140387;-0.00198627425438;0.004358793129076
2;16;1;30;13;55;128.988518867925;125.113664846077;124.311735849057;191.439646474677;10.590593346574;0;378.413919563059;-1.07217930256408;-1.11118509086507;-1.11622536742413;8.551637040715;-3.07292502482622;-5.47871201588878;0.019973204058365;0.022374302752211;0.002298049580509
2;16;1;30;16;55;126.143741310824;127.596905163853;128.227635551142;153.518546673287;9.38437934458788;0;381.968282025819;-1.10829257900929;-1.10154961156394;-1.09018576617075;-3.53705809334657;0.822433465739821;2.71462462760675;-0.003404397933981;-0.008956786862112;-0.005552985074232
2;16;1;31;10;55;126.362148460775;125.799421549156;125.327080436941;170.05570754717;10.5345829195631;0;377.488650446872;-1.09173942647764;-1.10495162935443;-1.10242778492377;1.59779493545184;-0.090385799404171;-1.50740913604767;0.006624765209729;0.00568195015233;-0.00089386738555
2;16;1;31;13;55;122.720274577954;126.925634558093;126.639834160874;149.649492055611;9.6484364448858;0;376.285743296922;-1.12084548089214;-1.09115080767628;-1.0878291576475;-8.12491956305859;4.49116037735849;3.6337591857001;-0.015210315125631;-0.016667690964388;-0.001438022419724
2;16;1;31;16;55;127.217228897716;126.985489076465;126.911293445879;165.956241807349;9.75701787487587;0;381.11401142006;-1.0957212741261;-1.10429958015291;-1.09914049401429;0.537675273088381;-0.157544190665343;-0.380131082423039;0.004120874784099;0.001899633150229;-0.002239522559984
2;16;2;1;10;55;124.740537735849;125.975452830189;124.091954816286;152.416681727905;10.3102557100298;0;374.807945382324;-1.09802448107391;-1.09407818855772;-1.1067202247702;-0.586332174776564;3.1184131082423;-2.53208093346574;-0.002186134806172;0.00461151541378;0.006733660584377
2;16;2;1;13;55;128.096877855015;125.405374875869;119.687387288977;154.417939424032;12.3276991062562;0;373.189640019861;-1.06282685577289;-1.09322529092351;-1.1442919173781;11.1009935451837;3.02648460774578;-14.1274781529295;0.01573517043509;0.041640787024133;0.02590242056127
2;16;2;1;16;55;128.957568023833;126.966723932473;121.421794438928;148.808004468719;11.6604438927507;0;377.346086395233;-1.06714865184646;-1.09085229582645;-1.13957566963651;9.52661767626614;3.55408540218471;-13.0807030784508;0.012684668752801;0.037724691118486;0.024894227110529
2;16;2;2;10;55;127.047871896723;126.902909632572;121.288180238332;136.874796425025;10.7536554121152;0;375.238961767627;-1.07694675606108;-1.08583266538573;-1.13458071905465;5.90465392254221;5.46976713008937;-11.3744210526316;0.004447657249421;0.030160531859777;0.025592593526962
2;16;2;2;13;55;125.831939920556;126.417072492552;118.931741310824;128.163199602781;11.7186032770606;0;371.180753723932;-1.07542601805762;-1.07679742312096;-1.14504200515782;6.31506603773585;8.07046375372393;-14.3855297914598;0.000891389128699;0.036479751935272;0.035407399868523
2;16;2;2;16;44;126.06706305859;127.026076961271;124.716481132075;172.634879344588;10.5915283018868;0;377.809621151936;-1.09538558376296;-1.09294834045205;-1.11056474271358;0.391568023833168;3.26860973187686;-3.66017775571003;-0.000942852388627;0.008058335750498;0.00887212520319
2;16;2;3;10;55;128.459227904667;128.699663853029;125.881044190665;140.508552631579;8.81177606752731;0;383.039935948361;-1.09187559412447;-1.09319817021731;-1.11519808741844;2.33774776564052;3.05905561072493;-5.39680337636544;0.000648938008933;0.011667548770502;0.011009940573236
2;16;2;3;13;55;126.20644836147;127.531642999007;126.287165342602;181.040456802383;10.7321226415094;0;380.025256703078;-1.10548205199665;-1.09560007128115;-1.10038598058525;-1.40591161866931;2.5696722939424;-1.16376067527309;-0.004968454430565;-0.002513233861323;0.002454814581483
2;16;2;3;16;55;132.735064051639;126.346418073486;117.335512909633;113.008007447865;14.9771137040715;0;376.416995034757;-1.03378116275109;-1.09484332790656;-1.17597183211618;21.7881971201589;2.6222591857001;-24.410456305859;0.030906716848551;0.071826136021573;0.04130251474625
2;16;2;4;10;55;126.153535749752;126.924143495531;122.151241807349;148.704865938431;10.603134061569;0;375.228921052632;-1.08711962585096;-1.08653524897625;-1.12633276738259;3.23168619662363;5.54350943396227;-8.7751956305859;-0.0004399580666;0.020143610475369;0.020471145261604
2;16;2;4;13;55;128.79168917577;125.373887288977;127.656094339623;176.538311320755;10.2699865938431;0;381.821670804369;-1.08412630837638;-1.12164057207282;-1.09490435857203;4.55339672293942;-5.70000893743794;1.14661221449851;0.01879918729498;0.005524878675538;-0.013208409406758
2;16;2;4;16;55;122.091883813307;127.443685700099;130.965519364449;183.808286991063;11.6524935451837;0;380.501088877855;-1.14048612616096;-1.09866676047995;-1.06264472282362;-14.2254374379345;1.8299682224429;12.3954692154916;-0.021488433630838;-0.039112042823507;-0.01778746002809
2;16;2;5;10;55;128.854285004965;127.592798907646;118.314584409136;130.983452333664;13.3881271102284;0;374.761668321748;-1.06028945502675;-1.0790029084833;-1.16139355573633;11.801186693148;8.01672840119166;-19.8179150943396;0.009268707920263;0.052372699957699;0.043063716188532
2;16;2;5;13;55;126.454464746773;126.271910129096;122.595305858987;152.221732869911;10.1082830188679;0;375.321680734856;-1.08538587212707;-1.09236452220756;-1.12301367896342;4.04171350546177;3.49404965243297;-7.53576315789474;0.003469322371534;0.01882916115687;0.015307485874813
2;16;2;5;16;55;125.477115690169;125.901638033764;126.898767626614;179.675587388282;10.6641767626614;0;378.277521350546;-1.10268864981025;-1.10463532777837;-1.09271990556666;-1.84617428003972;-0.572607249255214;2.41878152929494;0.001075708110008;-0.004902830520118;-0.006041834057026
