cam;year;month;day;hour;min;r;g;b;h;s;v;tot;r_pc;g_pc;b_pc;r_ex;g_ex;b_ex;n_rg_d;n_rb_d;n_gb_d;flower
1;16;6;25;16;55;126.490987090367;128.44130734856;129.159367924528;176.88639374379298;10.2437780536246;0;384.09166236345595;-1.1138421065933701;-1.0987787252469001;-1.08770708308077;-4.618701092353531;1.23225968222443;3.3864414101291;-0.007614654943912;-0.013070449316491;-0.005499087392324001;0
1;16;6;26;10;55;131.369150446872;131.20549900695102;128.66388877855;152.499535253227;9.73337884806356;0;391.23853823237295;-1.09619116514714;-1.09427712375663;-1.1100196251107501;2.8689131082422996;2.37795878848064;-5.24687189672294;-0.001003914058141;0.006893915821184001;0.007865168693779;0
1;16;6;26;13;55;126.97992750744801;127.66494687189699;131.072912115194;193.44530734856002;10.5292889771599;0;385.71778649453796;-1.1146560776345;-1.11015318653504;-1.07578990567609;-4.7780039721946395;-2.72294587884806;7.5009498510427;-0.002265050562212;-0.019394803474066;-0.017150990856578;0
1;16;6;26;16;55;128.304130089374;129.974419066534;124.447299900695;161.357047666336;10.7236832174777;0;382.725849056604;-1.09661606848114;-1.08472307659197;-1.1202944117033;2.1865412115193603;7.19740814299901;-9.38394935451837;-0.00595926202511;0.011812146209950001;0.017676062238353;0
1;16;6;27;10;55;127.272028798411;130.416208043694;124.01538877854999;147.326882323734;10.319430983118199;0;381.703625620655;-1.1004966844865;-1.0754570734498499;-1.1247049363524901;0.112460774577954;9.54499851042701;-9.657459285004972;-0.012576864678341002;0.01212429239573;0.024612824866757997;0
1;16;6;27;13;55;128.045883316783;128.881896226415;126.37092601787501;164.553627606753;10.021967229394198;0;383.298705561072;-1.0989783491171998;-1.09266590057728;-1.1087149462295;0.8389443892750742;3.3469831181727896;-4.185927507447859;-0.003181745702184;0.004866392277562;0.008002492779436;0
1;16;6;27;16;55;125.83972641509399;127.722085402185;130.990934955313;195.590082919563;10.640801390268098;0;384.552746772592;-1.1203949630178798;-1.10665405601032;-1.07374350628961;-7.03356752730884;-1.38649056603774;8.42005809334657;-0.006881736040776999;-0.023283637575012995;-0.016425181987403;0
1;16;6;28;10;55;126.946126613704;128.21492899702102;127.65043694141;173.633867428004;10.0532621648461;0;382.811492552135;-1.1062021538191698;-1.09723620803413;-1.09670768241377;-1.9731127110228401;1.83329443892751;0.139818272095333;-0.004538226981585999;-0.004645317096111001;-0.000143036038916;0
1;16;6;28;13;55;128.823680238332;128.795810327706;127.323773088381;155.804193644489;9.27879692154916;0;384.943263654419;-1.09654475263762;-1.09859413312009;-1.10483694628626;1.5277770605759702;1.4441673286991101;-2.9719443892750697;0.001002323856494;0.004129384844448;0.0031021959225749998;0
1;16;6;28;16;55;127.661343098312;127.59315938431001;129.310734359484;193.539944389275;9.89203624627607;0;384.56523684210504;-1.10503109128559;-1.10703379936002;-1.08799514113334;-1.58120754716981;-1.78575868917577;3.36696623634558;0.0009638285590630001;-0.008511013157333;-0.009505455741628999;0
1;16;6;29;10;55;128.021432969215;128.46288033763702;131.34524925521401;196.586640516385;9.59435551142006;0;387.829562562066;-1.1112035207153501;-1.10801544256024;-1.0806119096978999;-3.76526365441907;-2.44092154915591;6.2061852035749805;-0.0016212333075999999;-0.015276050796326001;-0.013682798824986001;0
1;16;6;29;13;55;126.24895779543199;128.41113406156902;131.15435898709;195.951324726912;10.5408306852036;0;385.814450844091;-1.1209372532559498;-1.1033061683821201;-1.07631469705833;-7.067577457795429;-0.58104865938431;7.648626117179741;-0.008826873681683;-0.022267853063197996;-0.013481645338788999;0
1;16;6;29;16;55;126.93773038728901;127.817143495531;127.731347070506;190.444204568024;11.0125824230387;0;382.486220953327;-1.1081893083076297;-1.10139418007318;-1.0919899277679002;-1.67302979145978;0.96520953326713;0.7078202581926508;-0.00342679827689;-0.008087668936334001;-0.004740182473646;0
1;16;6;30;10;55;125.603365441907;127.889781529295;131.14158490566;198.879049155909;10.1293535253227;0;384.634731876862;-1.12255546550252;-1.10386427511688;-1.07376064920916;-7.824635551142009;-0.96538728897716;8.79002284011917;-0.009355120499214;-0.024350589088607003;-0.015030690980635001;0
1;16;6;30;13;55;126.96823038728901;129.329073982125;129.724434458789;180.50744190665299;9.81824925521351;0;386.02173882820296;-1.11660533480303;-1.0952713399496201;-1.0880738090203599;-5.117047666335651;1.96548311817279;3.1515645481628596;-0.01066909112819;-0.014241997684913;-0.0036051729761459998;0
1;16;7;1;10;55;126.59798560079399;129.784282025819;128.739775571003;170.420203574975;10.023730387289;0;385.122043197617;-1.1174484906531699;-1.08757127427074;-1.09504965968226;-5.32808639523337;4.23080287984111;1.09728351539225;-0.014936410016911999;-0.011177151310182;0.003730031578746;0
1;16;7;1;13;55;126.292936444886;130.06596276067498;129.920570009931;177.751988083416;10.511948361469699;0;386.27946921549204;-1.12493322351739;-1.08926418037213;-1.08647710431484;-7.4006598808341595;3.91841906653426;3.4822408142999;-0.017842785374895;-0.019191237852368998;-0.001402459888688;0
1;16;7;1;16;55;126.506507944389;128.46458440913602;129.11582224429;186.350600794439;11.4524667328699;0;384.086914597815;-1.11850709344259;-1.10082883509169;-1.08300042721267;-4.567390764647469;1.30683862959285;3.26055213505462;-0.008856746756504998;-0.017679244334059;-0.008940454296824;0
1;16;7;2;10;55;127.119449354518;129.75407249255198;127.32480238331699;166.371790466733;10.530188182721;0;384.19832423038696;-1.11017564191901;-1.08754522242705;-1.10306575989462;-2.83997616683217;5.06389324726912;-2.22391708043694;-0.011353655276823;-0.0035378656388;0.007770209817160999;0
